,date,review,rating,isEdited,userName,title,developerResponse
0,2019-06-09 22:57:42,App hữu dụng,5,False,Kin_nik_224,Tốt,
1,2017-11-01 10:47:48,Mình rất thích ngân hàng của các bạn nhưng app nặng quá. Hiệu ứng nhiều quá. Các bạn nên tham khảo app techcombank,4,False,Diamond1414,Tpbank,
2,2017-10-19 05:29:44,"Những hiệu ứng blur background vừa làm nặng máy, vừa không đẹp dễ gây rối mắt, không hiển thị rõ những chức năng + text -> cái này mới là cái user cần.

Phần nhập stk hoặc tên, số tiền thì làm ơn đặt trong khung có border rõ ràng. 

Ở phần nhập OTP thì chỉ cho nhập số thôi để keyboard hiện mỗi số, dễ nhập hơn là hiện cả chữ và số.",2,False,AnNg1995,UX UI tệ,
3,2019-12-09 00:48:27,"Không có âm thanh khi thông báo số dư.
Video intro có độ phân giải thấp, trông xấu. Đã làm thì làm cho đẹp, còn không tốt nhất là bỏ đi cũng. K có intro cũng chả vấn đề gì cả.",4,False,ChauTN,"Âm thanh thông báo, video intro",
4,2020-04-29 03:23:52,"•Ứng dụng TPBank mobile rất không thuận tiện, từ việc trình bày các tính năng cho đến việc khách hàng phải trải nghiệm ứng dụng rất không thoải mái, lỗi ebank hay như thế nào cũng không được thông báo đến khách hàng.
•Nhắn tin báo lỗi và thông tin khách hàng cho trợ lý ảo trên messenger facebook thì cũng như không. Không một ai phản hồi. Đến khi không thể nào chờ để “trợ lý ảo” giải quyết thì tôi buộc phải gọi điện đến hotline để gặp nhân viên.
•Nói rõ vấn đề đang gặp phải với nhân viên rồi, nhân viên giải thích quá kém, không đúng trọng tâm, không giải quyết được vấn đề. Một trải nghiệm rất tồi tệ. Đang xem xét huỷ thẻ và ứng dụng của TP.",1,False,pthuy123,"Ứng dụng rất tệ, nhân viên tư vấn kém!",
5,2020-12-21 12:16:44,"Upgrade lên app mới cái là chết luôn etoken, thậm chí ko đổi về SMS được. Coi như là ko giao dịch gì được luôn.",1,False,icememine,Etoken????,
6,2019-10-07 04:22:56,"Và TPBank đừng mua review. App vẫn tệ mà tự nhiên một ngày điểm tăng từ 2 lên gần 5, review toàn khen có 1-2 dòng.",1,False,Aloha200932,Không nhận được OTP thông qua Notification,
7,2019-12-07 16:13:47,đang dùng bthg đi cập nhật ko thể đăng nhập được. Quá lởm,1,False,noitrungla,QUÁ BỰC MÌNH,
8,2021-12-03 06:59:52,Nhân viên chăm sóc khách hàng thiếu văn hoá. Số tổng đài gọi không bao giờ được.,1,False,nakldfnjwnx,Nhân viên thiếu văn hoá.,
9,2020-11-10 02:37:27,"Top 1 ngân hàng điện tử gì mà quá tệ tiền bị treo 4 ngày vẫn chưa được giải quyết, gọi hotline đều bận",1,False,akdhf fn,"Quá tệ, không nên dùng",
10,2020-03-13 04:32:08,"Giao diện log in nặng và tốn thời gian.
Mất tính năng tự động gửi góp tiết kiệm, buộc người dùng sử dụng thao tác thủ công trên app Savy rất tốn thời gian và không thuận tiện.",2,False,y2kSmith,Tại sao lại tệ hơn?,
11,2021-07-13 08:52:36,"Chuyển tiền thường xuyên bị lỗi, rút tiền hay bị nuốt thẻ tại trạm atm của ngân hàng khác.
Nhận tiền cũng bị lỗi.
ng ta Chuyển nhanh mà mình 3-4 hôm mới nhận dc. Phải gọi dt 5 7 lần mới xử lý xong.
Tổng đài khó kết nối. Gọi hơn 10 lần toàn bị ngắt kết nối trước khi gặp dc tư vấn viên.
Làm ăn tệ vậy sao mà tiên phong dc tpbank?",1,False,vo thanh hung,Tệ,
12,2018-03-18 07:04:29,tính năng notifications không hoạt động bao gồm cả phần thông báo số dư và OTP. Bên Timo chức năng này rất tốt,2,False,ZigTH,Notifications không hoạt động trên ios,
13,2022-05-19 12:36:16,Nhớ nhập mã giới thiệu NOBI7RQ6 để được nhận 50k vào tài khoản mọi người nhé,1,False,nguyenhieu0103,App dùng tốt,"{'id': 29955900, 'body': 'Chào Bạn ! Cám ơn Bạn đã quan tâm và sử dụng sản phẩm dịch vụ của TPBank\r\n\n\n', 'modified': '2022-05-25T08:19:31Z'}"
