,date,review,rating,isEdited,userName,title,developerResponse
0,2020-04-12 12:33:57,Ứng dụng thật tiện ích và tuyệt vời với tất cả mọi người. Mình cảm thấy hài lòng với ứng dụng của ngân hàng Agribank.,5,False,nguyễn thiệu khánh,Nguyễn Thiệu khánh,
1,2019-03-13 03:01:30,"Mục thông báo biến động số dư trong app cũng ổn mà, bấm dô 1 phát là tra được số dư",5,False,Võ Xuân Tài,VÕ XUÂN TÀI,
2,2020-04-17 00:47:27,"Ngân hàng agribank đã biết lắng nghe khách hàng, 16/4/2020 đã thêm chức năng tiền gửi online giống dịch vụ của các ngân hàng khác",5,False,Binh2003,Bản nâng cấp đang giá,
3,2020-04-11 00:17:51,"Sau khi update phiên bản mới nhất của app. Mình cảm thấy chạy ổn hơn rất nhiều. Không còn dấu hiệu lag giật hay chuyển tiền bị lỗi. Các mục Thanh toán hoá đơn cũng rất thuận tiện, không bị lỗi nhiều như các lần trước. Rất hài lòng!
Chúc mừng simh nhật agribank !!!",5,False,Điền Vũ,App E-banking,
4,2020-03-27 07:50:00,Rất hữu ích,5,False,phạm linh nhi,Rất tiện lợi,
5,2021-06-02 15:27:00,"Hệ thống rất chậm trong việc chuyển khoản, thường xuyên lỗi chuyển khoản. Điều này làm bất tiện trong giao dịch cần nâng cấp sửa chữa để hệ thống tốt hơn",1,False,VNVDT,GÓP Ý HỆ THỐNG,
6,2020-07-09 03:59:13,"Sau nhiều lần cải thiện, ứng dụng đã có nhiều tiện ích đồng bộ hơn. Giao dịch thanh toán đơn giản, nhanh chóng. Hạn mức nâng cấp phù hợp với nhu cầu của kh",5,False,Ngô Lan Anh,Ứng dụng thông minh tiện lợi,
7,2020-04-08 14:27:07,Cảm ơn Agribank đã mang lại những tiện ích và an tâm cho mọi người,5,False,thư lành,Gửi Agribank,
8,2021-07-10 12:27:13,"Chuyển khoản toàn báo lỗi hệ thống, tệ nhất trong các app ngân hàng.",1,False,Trần Minh Dũng,Quá kém cỏi,"{'id': 23923801, 'body': 'Admin rất tiếc về sự bất tiện mà bạn vừa gặp phải, Ứng dụng sẽ ghi nhận ý kiến đóng góp của bạn. Cám ơn bạn đã tin tưởng sử dụng dịch vụ ạ!', 'modified': '2021-07-14T11:20:19Z'}"
9,2020-11-16 11:48:07,"Bạn bị trừ tiền trong tài khoản? Agribank sẽ báo cho bạn một con số vô hồn mà chỉ có họ biết nội dung là gì ! 
Bạn có giao dịch thì có thể bạn không bao giờ nhận được thông báo chỉ vì có quá nhiều tin mà Agri đã gửi đầy hộp thông báo. Bạn muốn xoá thì tự xoá bằng tay và phải xoá hết, bất kể là có rất nhiều giao dịch cần lưu.
Quá kém với qui mô như Agri !",1,False,T&T VT,Quá kém cho những chức năng sơ đẳng,"{'id': 22098203, 'body': 'Admin rất tiếc về sự bất tiện mà bạn vừa gặp phải, Ứng dụng sẽ ghi nhận ý kiến đóng góp của bạn. Cám ơn bạn đã tin tưởng sử dụng dịch vụ ạ!', 'modified': '2021-04-07T11:05:24Z'}"
