,date,developerResponse,review,rating,isEdited,title,userName
0,2020-02-06 10:48:00,"{'id': 18206418, 'body': 'BIDV rất lấy làm tiếc về trải nghiệm không mong muốn. Chúng tôi sẽ tiếp thu ý kiến từ người sử dụng để tiếp tục cải thiện hệ thống. ', 'modified': '2020-10-01T01:39:46Z'}","Bảo trì lắm vcl , muốn mua đồ ăn với đồ online thanh toán sẵn mà không được , bỏ lỡ bao voucher :/",3,False,Bảo trì lắm vcl,khó chij
1,2019-02-18 16:53:13,"{'id': 18192969, 'body': 'Cảm ơn bạn đã góp ý, ứng dụng Smartbanking hiện đã bổ sung tính năng này.', 'modified': '2020-09-30T09:59:47Z'}",Ứng dụng thông minh nhưng lại không thông báo biến động số dư. Đề nghị ngân hàng update.,2,False,Không thông báo biến động,dung2393
2,2018-02-06 04:42:32,"{'id': 18206404, 'body': 'Chân thành xin lỗi khi sản phẩm/dịch vụ của chúng tôi đem đến trải  nghiệm chưa tốt cho bạn. Chúng tôi đang nỗ lực không ngừng để phục vụ khách hàng ngày một tốt hơn. Mọi thắc mắc vui lòng liên hệ 19009247 để được hỗ trợ. ', 'modified': '2020-10-01T01:37:47Z'}","Do cty tôi bắt buộc nên mới phải lập tk tại BIDV. Nhưng khi dùng, tôi thấy hầu hết tất cả ứng dụng qua mạng của BIDV đều thua nhiều ngân hàng khác.
1. Cũng như internet banking, có vđề gì không thể giải quyết qua mạng mà hầu hết sẽ phải tới tận ngân hàng và làm việc với nhân viên. Như vậy rất tốn tgian và công sức. Còn nói là “internet” nữa?
2. Tôi đã có tk rồi nhưng khi đăng nhập bằng app lại không thể, cũng như khá nhiều người khác.
Rất khó hiểu và khó chịu.
Xin lỗi nhưng 1 sao là vì không có mức thấp hơn!",1,False,Số 1 VN là tự phong à?,lần đầu phải comment
3,2017-07-15 14:17:27,"{'id': 18206453, 'body': 'Cám ơn bạn đã dành thời gian đánh giá ứng dụng. Mong bạn tiếp tục ủng hộ và sử dụng dịch vụ của chúng tôi.', 'modified': '2020-10-01T01:44:14Z'}","Xác nhận otp bằng vân tay, trợ lý ảo tiếng Việt. Rất tiện",5,False,Tốt,Nhochero
4,2019-11-25 02:18:42,"{'id': 18206431, 'body': 'BIDV xin chân thành xin lỗi vì bất tiện này. Chúng tôi luôn nỗ lực để cải thiện trải nghiệm của khách hàng được tốt hơn. Bạn vui lòng để lại thông tin liên hệ hoặc liên hệ theo đường dây nóng 19009247 để được hỗ trợ.', 'modified': '2020-10-01T01:41:24Z'}",Chuyển tiền 24/7 mà cứ sau 9h tối hoặc t7 cn là k chuyển đc. Đợi đến thứ 2 đến lúc đợi mã xác nhận OTP nữa ngày cucng k thấy,2,False,Không chuyển tiền được,Mintoothless
5,2022-10-12 05:55:11,"{'id': 32574352, 'body': 'BIDV cảm ơn Quý khách đã tin tưởng và sử dụng dịch vụ BIDV Smart Banking. Hy vọng Quý khách sẽ tiếp tục đồng hành cùng sự phát triển của BIDV!\r\n', 'modified': '2022-10-14T10:27:48Z'}","Không như mấy app cũ tôi dùng, BIDV SmartBanking ít lỗi, giao dịch nhanh và đặc biệt là miễn phí chuyển khoản và duy trì.",5,False,"Nhanh chóng, giao dịch miễn phí",cctk22
6,2022-10-12 06:28:46,"{'id': 32574368, 'body': 'BIDV cảm ơn Quý khách đã tin tưởng và sử dụng dịch vụ BIDV Smart Banking. Hy vọng Quý khách sẽ tiếp tục đồng hành cùng sự phát triển của BIDV!', 'modified': '2022-10-14T10:28:12Z'}","App tiện lợi phết, ở nhà cũng thanh toán hóa đơn điện, nước, book vé xe, vé tàu,... được lại còn khá nhiều giảm giá.",5,False,Tiện ích,gianglethi
7,2021-03-20 13:13:57,"{'id': 21784519, 'body': 'Cảm ơn bạn đã phản hồi. Smartbanking thế hệ mới được phát triển trên cơ sở kế thừa Smartbanking cũ, rất mong bạn dành chút thời gian để làm quen và cảm nhận những cải thiện của chúng tôi. ', 'modified': '2021-03-22T02:34:42Z'}",Chán lắm mọi thứ đảo lộn . Muốn cài đặt smart bankinh cũ ko đc,1,False,Muốn quay lại ứng dụng cũ,lo khoi
8,2020-11-12 14:47:46,,"Thông báo biến động số dư rất hay bị lỗi có lúc được lúc mất, nhiều khi phải mở app xem số tiền hiện có mới biết được có giao dịch gì không! Xem mục biến động số dư thì không thấy thông báo gì nhưng thực chất là có phát sinh giao dịch! Rất mong sửa lỗi này sớm!",2,False,Lỗi Thông báo,Nam14292
9,2022-10-12 05:06:36,"{'id': 32574324, 'body': 'BIDV cảm ơn Quý khách đã tin tưởng và sử dụng dịch vụ BIDV Smart Banking. Hy vọng Quý khách sẽ tiếp tục đồng hành cùng sự phát triển của BIDV!\r\n', 'modified': '2022-10-14T10:26:42Z'}","Bảo mật 2 lớp khi thanh toán qua nền tảng thanh toán khác rất an toàn, yên tâm sử dụng",5,False,mai duc anh,Phongleanhduc
