,date,review,rating,isEdited,userName,title,developerResponse
0,2022-12-16 04:31:13,App thông minh,5,False,MISS THẢO,Smart,
1,2023-02-15 14:18:25,"Myvib thật sự đã có rất nhiều update hưu ích VIB đã lắng nghe uúe, improve app rất nhiều Tốc độ nhanh hơn, tính năng hữu ích Tôi tin tưởng VIB Chúc VIB thêm nhiều thành công Chúc c Đông Bùi và team mạnh khoẻ",5,False,Thụcnhi,Application đã có nhiều cải thiện,
2,2022-06-01 14:17:43,Một phần mềm ngu xuẩn,1,False,155965,155965,"{'id': 31224343, 'body': 'Chào bạn. Cảm ơn bạn đã sử dụng dịch vụ của MyVIB 2.0. Bạn vui lòng cho VIB biết bạn đang gặp phải trải ngiệm không tốt nào để VIB có thể hỗ trợ tốt hơn. Trân trọng cảm ơn!', 'modified': '2022-08-02T05:56:10Z'}"
3,2023-01-09 03:34:33,"- App giao dịch nhanh
- Nhân viên hỗ trợ tốt",5,False,Người dùng era,App tốt,
4,2022-06-28 23:12:23,"Chức năng dịch vụ thẻ dễ xem các loại thẻ đang sử dụng, có thể tự mình khoá mở thẻ khỏi phải gọi tổng đài hoặc lên ngân hàng hỗ trợ",5,False,MâuKỳv_4492,Ngonnnnnn,
5,2022-11-25 20:37:52,Nên có gói duyvtrif tài khoản ảo 0d. Miễn phí ápp,5,False,ngs hieu,Gói lựa chọn duy trì tài khoản ảo 0 ₫,
6,2023-02-07 10:38:21,"App này theo concept đơn giản và tập trung vào nhu cầu liên quan đến ngân hàng. Nhìn sạch, gọn. Rất thích. Ko thích mấy app bank nhìn như mấy ví điện tử với mấy cái app bán hàng",5,False,Caesar21_09,Ổn áp,
7,2022-06-13 05:20:19,"Vib là lựa chọn tốt, app team đã có rất nhiều cải thiện 
1: thêm change pass
2: ux đã improved phần chuyền tiền 
3: app Sài ko còn lag như trước 
Còn phần biến động số dư nữa vib ơi

Cố lên tôi luôn tin tưởng vib",1,False,ThomasNGUYENVN,App có cải thiện,
8,2022-06-05 09:22:30,"Nhận chuyển khoán, trừ tiền tài khoản, trích nợ tự động.., ko hề có cái thông báo. Dỏm quá.",1,False,Leo Nguyen 84,App ko hề có thông báo,"{'id': 31224440, 'body': 'Leo Nguyen 84, Chào bạn. Cảm ơn bạn đã sử dụng dịch vụ của MyVIB 2.0. Chúng tôi rất xin lỗi về những trải nghiệm không tốt mà bạn gặp phải. Bạn vui lòng liên hệ DVKH 24/7 1800 8180 (miễn phí) để được hỗ trợ tốt hơn. Trân trọng cảm ơn!', 'modified': '2022-08-02T06:00:14Z'}"
9,2022-06-01 12:11:02,"Chưa test kỹ đã tung ra cho khách hàng dùng, lỗi không nhận được otp khi nạp tiền ví điện tử. Lỗi tra soát lịch sử giao dịch. Không có mục otp độc lập",1,False,Áp Pi,Lỗi quá nhiều,"{'id': 31224207, 'body': 'Chào bạn. Cảm ơn bạn đã sử dụng dịch vụ của MyVIB 2.0. Chúng tôi rất xin lỗi về những trải nghiệm không tốt mà bạn gặp phải. Bạn vui lòng liên hệ DVKH 24/7 1800 8180 (miễn phí) để được hỗ trợ tốt hơn. Trân trọng cảm ơn!', 'modified': '2022-08-02T05:49:10Z'}"
10,2023-02-23 08:13:43,App không báo biến động số dư?,1,False,Ht Saiyan,App không báo biến động số dư,
11,2023-02-19 09:50:47,Tắt thông báo ưu đãi mà ngày nào cũng nhận thông báo này!!!!,1,False,Fukumori98,Lỗi thông báo,"{'id': 34982989, 'body': 'Chào bạn. Cảm ơn bạn đã sử dụng dịch vụ của MyVIB 2.0. VIB rất tiếc về những trải nghiệm không tốt mà bạn gặp phải. Để hiểu rõ hơn về vấn đề của bạn, bạn vui lòng gửi yêu cầu đến hộp mail dvkh247-mob@vib.com.vn hoặc để lại thông tin tại đây để được hỗ trợ tốt hơn. Trân trọng cảm ơn!\r\n', 'modified': '2023-02-21T04:56:55Z'}"
12,2023-01-05 10:40:15,2.0 dc cai chia sẻ nhóm dc khỏi chup man hình de gởi ng khác,5,False,baob410,Chia sẻ,
13,2022-09-22 03:56:33,Good,5,False,Việt Nam 0999936374,Rất thích tính năng tích luỹ dặm thưởng VN Airline và ưu tiên thương gia khi dùng thẻ VIB,
14,2022-10-29 05:28:16,Cần thiết kế nâng cấp giao diện tối cho màn hình,4,False,Nttahnvntatt,Cần thiết kế nâng cấp giao diện tối cho màn hình,
