,date,review,rating,isEdited,userName,title
0,2022-12-23 02:15:39,akak,3,False,Phạm K,"Bij crash tren iphone 14pro, fix gap cac ban oi"
1,2019-09-21 02:00:22,"đã cài trên điện thoại và dùng bình thường, không hề đổi điện thoại hay tháo sim nhưng thường xuyên ngẫu nhiên bị báo là ứng dụng không tiếp tục dùng được nữa vì đã đổi điện thoại hoặc tháo sim.

mỗi lần như vậy đều phải mất công ra ngân hàng làm kích hoạt lại rất phiền toái.

vietcombank có vấn đề về tư duy quy trình bảo mật. trước đây thì quá lỏng lẻo đến mức có khách hàng bị mất tài khoản truy cập internet banking và chỉ cần tài khoản internet banking là người khác truy cập được và đổi thẳng được cả số điện thoại nhận sms otp và bị chuyển mất 500tr luôn. đến giờ sửa lại thì lại thành quá chi li phiền toái không thực tế với cái cơ chế đổi điện thoại hay đặc biệt là vụ tháo sim gì đó thì chả hiểu để làm gì và làm sao để biết điện thoại tháo sim mà suốt ngày báo phải ra ngân hàng kích hoạt lại vì tháo sim trong khi mình dùng điện thoại không hề tháo sim bao giờ. mà giả sử có tháo sim thì ảnh hưởng gì tới cái ngân hàng.

tư duy làm quy trình bảo mật otp của vietcombank thực sự rất có vấn đề.",1,False,tamnhuthuy,cơ chế tệ và phiền toái
2,2019-11-16 02:17:13,"Giờ đa số ngân hàng người ta tích hợp smart otp vô thẳng app banking, chỉ có ngân hàng này tách ra đã vậy hở cái là bắt ra kích hoạt lại hở cái là bắt ra kích hoạt lại.
Đổi thiết bị mới: Lết hán ra kích hoạt lại.
Nhập sai 5 lần: lết hán ra kích hoạt lại.
Quá 12 tháng: Lết hán ra kích hoạt lại.
Giao dịch 180 ngày: Lết hán ra kích hoạt lại.
Trong khi Techcombank, Shinhan Bank, .v..v.. mọi thứ ở trên điều có thể thực hiện trên app k bắt khách lết hán ra chi nhánh",1,False,nguyenhoangminhh,Dev ngu
3,2017-02-02 03:44:44,"Mình dùng đt trước thì được, đt mới báo chưa kích hoạt. Lên máy tính kích hoạt rồi mà app vẫn báo chưa được.",1,False,Black8888,Rất tệ
4,2016-08-26 09:10:05,Số đt e trước giờ đã kích hoạt OTP cũng như internetbanking . Dùng máy trước vẫn bình thường. Đổi sang máy mới. Lại ko dùng đc app. Nhập số đt vào app thì báo là số đt chưa đăng ký. Nhưng em đã kích hoạt lại trên web rồi vẫn ko đc.ko biết bị lỗi gì. Số tổng đài gọi hoài ko đc.,1,False,Katie Nguyen Tran,Lỗi
5,2016-12-15 09:01:11,"I used SmartOTP properly since last year. Now it doesn't work anymore on my new iPhone. 
I am stuck at the first screen asking the mobile phone number. 
It says that I'm not registered but the website said I'm already registered. 
I called the support number who replied that I have to come to a VCB branch to register again. 
What a poor support !
VCB branches are closing at 4:30pm. 
Is that VCB concept of internet banking ?",1,False,Duke01011980,Doesn't work and incompetent support
6,2021-09-08 17:21:09,"Sau khi coi sao kê của nghệ sĩ tung ra phải nói đây là ngân hàng có dịch vụ tệ nhất Việt Nam, không cập nhật số dư liên tục mà bắt khách hàng phải tự cộng theo ngày, ảnh hưởng trực tiếp tới kế hoahcj siwr dụng tiền của khách hàng",1,False,Moogucage,Ngân Hàng có dịch vụ khách hàng tệ nhất Việt Nam
7,2021-09-08 16:29:54,Quá là tệ,1,False,5* game hay...,Quá tệ
8,2021-08-16 09:27:07,VCB smart OTP là cái app ngu nhất tôi từng thấy.,1,False,Anh1356,Stupid VCB smart OTP.
9,2021-02-11 06:43:57,Mở app ra bị đóng luôn ko làm ăn được gì,1,False,tunghatt,Mở ra bị đóng luôn
