,date,developerResponse,review,rating,isEdited,title,userName
0,2020-03-02 11:02:44,"{'id': 16425655, 'body': 'Cảm ơn QK đã góp ý. Face id lưu lại khi QK không đổi tài khoản và tải lại app. Trường hợp lỗi QK liên hệ với hotline 1900558868 để được hỗ trợ. cảm ơn', 'modified': '2020-07-06T08:58:22Z'}","Đăng nhập bằng face ID không lưu mặc dù đã bật, mỗi khi đăng nhập bằng face ID đều phải nhập lại mật khẩu",3,False,ĐĂNG NHẬP KHÔNG LƯU MẬT KHẨU,Linhbbk
1,2019-12-26 14:56:20,,"Cần cập nhật bảo mật ở màn hình chính, khi chưa đăng nhập vẫn có thể xem thông tin biến động số dư. 
Nên yêu cầu đăng nhập mới xem được biến động số dư.",4,False,App tốt nhưng cần cập nhật bảo mật,Alinamlam
2,2022-01-26 14:58:06,,Cập nhật lên xong mất luôn tính năng thông báo giao dịch🙂 chuyển tiền hay nhận tiền đều k có thông báo. Tận 30’ sau ms nhận dc,3,False,Lỗi,🖕🖕🖕😏
3,2020-01-15 10:26:21,,Tôi dùng mật khẩu bằng vân tay hoặc faceID mỗi lần cập nhật là lại một lần bắt nhập mật khẩu tay. Làm sao tôi có thể nhớ mật khẩu dc chứ? Quá bất tiện!,1,False,Không lưu mật khẩu,Longs2Nga
4,2022-01-16 21:13:16,,"Bỏ ngay cái số dư khả dụng dùm tôi cái, giờ chả có ngân hàng nào còn giữ chân 50k của khách hàng nữa, nhiều khi thấy mà bực",1,False,Ngân hàng quá tệ!,Ntv1381998
5,2021-05-12 06:50:54,"{'id': 23488114, 'body': 'Vi\xadet\xadin\xadBank xin lỗi vì sự bất tiện này. Chúng tôi rất mong quý khách gửi thêm chi tiết về tên nhân viên, tên chi nhánh, tên phòng giao dịch, địa chỉ, sdt khách hàng qua email \u202aCon\xad\xad\xad\xad\xad\xad\xad\xadtac\xadt\xad\xad\xad\xad\xad\xad\xad\xad@vi\xadet\xadin\xadbank.vn\u202c hoặc qua hot\xad\xad\xad\xad\xad\xad\xad\xadline \u202a1900558868\u202c để chúng tôi có thông tin gửi về Chi nhánh giải đáp nhằm nâng cao chất lượng dịch vụ\nTrân trọng cảm ơn Quý khách hàng.', 'modified': '2021-06-21T04:20:09Z'}",nhân viên ngân hàng viettin thiếu tôn trọng khách hàng.ngân hàng càng lớn càng chẳng ra gì,1,False,thái độ nhân viên chẳng ra gì,xalohanoi
6,2021-05-01 15:38:41,"{'id': 23487802, 'body': 'Cảm ơn QK đã góp ý. VietinBank xin ghi nhận ý kiến để nghiên cứu giải pháp hoàn thiện hơn đến KH. Trân trọng', 'modified': '2021-06-21T03:56:45Z'}",Cần có mục tính số dư bình quân tháng( dự kiến) ngay trên app để biết nạp bao nhiêu tiền đạt điều kiện duy trì số dư tối thiểu tháng để miễn phí phí,1,False,Cần có mục tính số dư bình quân tháng( dự kiến),2 điểm
7,2021-02-20 14:48:56,,Thích nhất gửi tiền tiết kiệm online,5,False,Tuyệt vời,Ben Chịu Chơi
8,2023-01-31 15:45:49,,Ngân hàng qq trừ bao nhiêu loại phí ae nên chọn ngân hàng khác mà dùng. Đã thế còn giữ 50k trong thẻ nữa,1,False,Trừ phí linh tinh,Thimilimien
9,2022-11-16 09:34:20,,"tôi đã sử dụng và cảm thấy tồi tệ. tôi đã lãng phí, đánh mất số tiền mua thẻ của mình",1,False,không hài lòng,trinhvu79
10,2022-10-10 11:53:32,,Ngày 10/10/2022. Không thể truy cập vào app. Lỡ biết bao nhiêu việc,1,False,Lỗi app,mr nghiem.na
11,2022-07-02 12:15:39,,Tuyệt vời,5,False,Tuyệt vời,MrQ17061990
12,2021-07-16 18:17:39,"{'id': 24110176, 'body': 'Vi\xadet\xadin\xadBank xin lỗi vì sự bất tiện này. Chúng tôi rất mong quý khách gửi thêm chi tiết về tình trạng lỗi qua email \u202aCon\xad\xad\xad\xad\xad\xad\xad\xadtac\xadt\xad\xad\xad\xad\xad\xad\xad\xad@vi\xadet\xadin\xadbank.vn\u202c hoặc qua hot\xad\xad\xad\xad\xad\xad\xad\xadline \u202a1900558868\u202c bao gồm dòng máy, hệ điều hành và các thao tác dẫn tới lỗi như vậy. \nTrân trọng cảm ơn Quý khách hàng.', 'modified': '2021-07-25T09:39:47Z'}","Tôi đã đăng kí thẻ tín dụng và đã sử dụng thành công
Nhưng khi tôi đăng nhập lại và vào phần thẻ lại thấy thông báo tôi chưa có thẻ và yêu cầu đăng kí thẻ
Mong add kiểm tra và sửa lỗi",2,False,Lỗi khi kiểm tra thẻ,ericka.ka
13,2021-11-17 10:55:04,,Để được hưởng ưu đãi nha các chế,5,False,Nhập mã 20016666,cường đại
14,2021-11-01 01:40:22,,dịch đã ko có gì làm rồi mà còn trù tiền,1,False,trừ tiền,atcmd
15,2021-10-31 12:39:26,,"Một tháng chẳng làm gì vẫn trừ các loại phí quá nhiều duy trì tk 15k
Thuế 1,5k
Qli thẻ 5,5k 
Trong khi techcombank  có 70k 1 năm phí các loại",1,False,Trù phí quá nhiều,dattientiendat
16,2021-07-15 12:30:44,,mong bản cập nhật sắp tới hỗ trợ cho phép mở thẻ Epartner Premium Chip trên cả 2 tài khoản cùng 1 CIF khách hàng.,5,False,Hỗ trợ mở thẻ Epartner Premium Chip,husky38
17,2021-07-11 08:20:31,,"Dịch vụ chất lượng, ck nhanh nhận luôn 5s đặc biệt nhân viên nhiệt tình lắm mng ạ 
Vote 5nghìn sao cho c ntq.nhu 💋 bao nhiệt tình nhé",5,False,DỊCH VỤ,MNgynnn
18,2021-06-12 04:25:14,,"Bảng nâng giao diện lần này thật sự hoàn hảo về trải nghiệm và độ ổn định, màu sắc hài hoà nội dung được phân cấp rõ ràng nên nhìn ko bị rối. Trải nghiệm cũng mượt hơn trướt nhiều.",5,False,Cảm ơn team Developer vs Team Design !,Eric Dang 1991
19,2021-06-07 10:55:01,"{'id': 23487663, 'body': 'Xin cảm ơn QK đã góp ý. Để có giải đáp thỏa đáng đề nghị QK liên hệ cán bộ hỗ trợ quản lý khoản vay của KH để được tư vấn và tính toán cụ thể về lãi suất. Lãi suất sẽ được quy định tại hợp đồng cho vay. Trân trọng', 'modified': '2021-06-21T03:45:40Z'}",23h đêm đã nhảy tính lãi của ngày hôm sau. 23h15p khách hàng vào trả nợ bị trả thêm lãi của ngày hôm sau. Ngân hàng lớn làm ăn lưu manh thảo nào lợi nhuận lớn.,1,False,Tính tiền lãi ăn gian của khách hàng,Apple ngu lắm
20,2021-06-02 15:53:49,"{'id': 23487715, 'body': 'Xin cảm ơn QK đã góp ý. VietinBank đang tiếp tục nâng cấp gia tăng hơn việc trải nghiệm tốt đến khách hàng. Trân trọng', 'modified': '2021-06-21T03:50:01Z'}","Thanh toán vnpay hệ thống mặc định thanh toán từ tk thanh toán, sao ko cho chọn tk thẻ tdqt để thanh toán nhỉ? Vnpay chấp nhận thẻ visa mà, app của vcb cũng cho kh lựa chọn nguồn tiền ngoài tk thanh toán. Ad xem lại nhé",3,False,Thanh toán vnpay bằng tk thẻ tdqt,Linhbtvtdtkn
21,2021-06-07 07:28:34,"{'id': 23261885, 'body': 'Xin truy cập Tài khoản -> chọn tài khoản thanh toán có giao dịch -> kéo xuống xem lịch sử giao dịch -> chọn giao dịch cần kiểm tra -> nội dung giao dịch đã được ghi rõ ở màn hình chi tiết giao dịch. Nếu Quý khách có nhu cầu khiếu nại xin gọi 1900558868 hoặc contact@vietinbank.vn do iPay không thể tra soát giao dịch cụ thể từ review chợ ứng dụng do không có thông tin. Trân trọng xin lỗi QK vì sự bất tiện này!', 'modified': '2021-06-08T10:27:18Z'}","Tôi có tiền trong tài khoản, k làm gì cũng bị trừ mất 50k mà k có thông báo vì sao bị trừ. Vui lòng ngân hàng cho tôi một lời giải thích",1,False,Ủa chẳng làm gì cũng bị trừ tiền trong tài khoản là sao,ltngocyenn
22,2021-03-22 07:09:00,,"VietinBank nay đã thay đổi hiện đại. Ngoài việc đăng ký online tài khoản, còn có các gói theo tháng với các dịch vụ 0 đồng",5,False,Dịch vụ Ipay,Nga Tí Xíu
23,2021-04-12 16:13:07,"{'id': 18835636, 'body': 'Xin cảm ơn QK đã góp ý. Việc phát sinh tin nhắn sms/ott về bdsd tài khoản cần phải được thông báo ngay tức thì. Rất nhiều TH khách hàng của Ngân hàng khác đã bị đánh cắp số dư trong thời gian đêm. Do đó, để phòng chống rủi ro cũng như thông tin đến Khách hàng ngay tức thì VietinBank cam kết thông báo đúng và đầy đủ về tình hình gd của khách hàng tại mọi thời điểm. Xin lỗi vì điều này không thể thực hiện vì thực tế phát sinh quá nhiều rủi ro ví dụ từ ngân hàng khác. Xin cảm ơn. ', 'modified': '2021-04-12T16:13:07Z'}",Mong ngân hàng trừ vào giờ hành chính. Để ko ảnh hưởng đến giấc ngủ của người dùng,1,True,Toàn trừ các loại tiền phí vào nửa đêm.rất rất phiền.,nãnnd
24,2021-03-29 15:13:31,"{'id': 21917916, 'body': 'Xin cảm ơn QK đã góp ý. \n♻️ Chuyển đổi sử dụng gói tài khoản 0 phí ngay trên iPay để hưởng ưu đãi miễn các loại phí:\n⚡️Phí chuyển khoản trong & ngoài hệ thống \n⚡️Phí duy trì tài khoản \n⚡️Phí duy trì dịch vụ iPay \n⚡️Phí thông báo biến động giao dịch\n📍3 bước đơn giản có ngay tài khoản như ý:\n- B1: Đăng nhập iPay Mobile\n- B2: Vào mục “Tài khoản”, chọn tài khoản thực hiện chuyển đổi và bấm link “Đổi gói tài khoản”\n- B3: Chọn gói tài khoản muốn chuyển, xác nhận OTP hoàn tất chuyển đổi\n📣📣📣Cùng chuyển đổi & trải nghiệm gói tài khoản 0 phí ngay thôi\nXin mời QK dùng và trải nghiệm dịch vụ của VietinBank. Trân trọng', 'modified': '2021-03-29T15:13:31Z'}","App cực kì thừa thãi các tính năng và quảng cáo, khiến cho các thao tác không thuận tiện. Thông báo đi thông báo lại tin cũ.
Trừ quá nhiều tiền phí. Cả năm chỉ nhận tiền chứ không chuyển khoản đi lần nào nhưng cũng mất đến mấy trăm ngàn tiền phí. Biến động số dư trên app cũng thu phí. Không thể chịu đựng nổi.",1,True,"App không tiện dụng, quá tốn phí",Cúc Hoàng Hoa
25,2021-03-26 03:02:03,"{'id': 21918022, 'body': 'Vi\xadet\xadin\xadBank xin lỗi vì sự bất tiện này. Chúng tôi rất mong quý khách gửi thêm chi tiết về tình trạng lỗi qua email \u202aCon\xad\xad\xad\xad\xad\xad\xad\xadtac\xadt\xad\xad\xad\xad\xad\xad\xad\xad@vi\xadet\xadin\xadbank.vn\u202c hoặc qua hot\xad\xad\xad\xad\xad\xad\xad\xadline \u202a1900558868\u202c bao gồm dòng máy, hệ điều hành và các thao tác dẫn tới lỗi như vậy. \nTrân trọng cảm ơn Quý khách hàng.', 'modified': '2021-03-29T08:09:01Z'}",Như cái đầu buồi một cái cmnd mà chụp bao nhiêu lần cx k nhận app như qq,1,False,Phản ánh,khách hàng :))
26,2021-03-19 07:54:08,,iPay sang xịn mịn,5,False,Rất tuyệt vời,HườngNTT
27,2021-03-19 06:51:50,,Thật tuyệt vời khi dùng Vietinbank ipay. Rất tiện lợi và có bảo mật cao.,5,False,Đánh giá,dat thuy TN
